source_id,target_id,source_group,target_group,y_true,y_score
0,941,0,0,1,0.6884704413568976
0,2610,0,0,1,0.9973725243003226
0,3338,0,0,0,0.16575257764950635
0,5316,0,0,1,0.6693993640628145
0,6633,0,0,0,0.46426518028550384
0,6744,0,0,1,0.7455427927257318
0,8652,0,0,1,0.9799295129337915
0,8902,0,0,1,0.644185208207568
0,8974,0,0,1,0.517941943731997
1,129,0,0,0,0.2744088995964408
1,692,0,0,1,0.7957178323807031
1,3243,0,0,1,0.9371408027185295
1,5808,0,0,0,0.27135489877391916
1,6758,0,0,0,0.2181366787574648
1,8051,0,0,0,0.2896265890545757
1,8288,0,0,1,0.7971940226061784
1,9159,0,0,1,0.7619084657988267
1,9491,0,0,1,0.6364901335784302
2,464,0,0,1,0.5017903061859278
2,2654,0,0,1,0.5877161713157812
2,2833,0,0,0,0.09231331478170941
2,3986,0,0,0,0.06403325079288773
2,4184,0,0,0,0.28570839431098055
2,4437,0,0,1,0.6288556821319344
2,5466,0,0,0,0.29335730098781193
2,5496,0,0,1,0.9314545483883907
2,6770,0,0,0,0.49334231152603525
2,8551,0,0,1,0.6645707582883342
3,456,0,0,1,0.9405151275584354
3,1057,0,0,0,0.23077014353965447
3,1085,0,0,1,0.7154755552480219
3,1722,0,0,0,0.2189444082261565
3,2352,0,0,1,0.53717182356565
3,5088,0,0,1,0.5147907879989992
3,5119,0,0,1,0.7931898344156315
3,5412,0,0,0,0.2577049530079081
3,7302,0,0,1,0.862894267343612
3,9628,0,0,0,0.26050347775290106
3,9692,0,0,1,0.877616354443359
4,95,0,0,0,0.28608394551821725
4,2997,0,0,1,0.9948246017176849
4,3228,0,0,1,0.58949003241547
4,5484,0,0,1,0.5330636804988207
4,5678,0,0,1,0.8021283380171591
4,5746,0,0,0,0.4578612959353979
4,6104,0,0,1,0.7667520747845787
4,7312,0,0,0,0.2874158052175523
4,7325,0,0,1,0.8695897998637236
4,8307,0,0,0,0.1840926737127956
4,9839,0,0,1,0.504041924687125
5,471,0,0,1,0.8256812032527358
5,681,0,0,1,0.7477867614494813
5,1042,0,0,0,0.3640576952240123
5,1158,0,0,0,0.18284432855836646
5,2722,0,0,0,0.07464084272687975
5,5375,0,0,0,0.21499031814730094
5,7193,0,0,1,0.6941647121278687
5,8831,0,0,0,0.2775986802107403
5,9228,0,0,1,0.8120497584644097
6,1322,0,0,1,0.8368944071270552
6,3856,0,0,0,0.3387785038854025
6,4999,0,0,0,0.28420098027388674
6,7540,0,0,1,0.8552646238701409
6,7690,0,0,0,0.10031473280969333
6,8054,0,0,0,0.14503543233619703
7,611,0,0,0,0.15153007227482082
7,1066,0,0,0,0.33381026164682137
7,1652,0,0,1,0.9802260618990282
7,2867,0,0,0,0.36360648918666916
7,2872,0,0,1,0.7127551088787405
7,5125,0,0,0,0.13049006349780884
7,5561,0,0,1,0.8588943417022838
7,8178,0,0,0,0.022060381422752615
7,8654,0,0,0,0.38261836980914576
7,8902,0,0,0,0.18470435970994661
7,9186,0,0,1,0.7533283923427072
8,1654,0,0,0,0.025143126507122096
8,2266,0,0,1,0.8011829942945297
8,2442,0,0,1,0.8666345014565501
8,3095,0,0,1,0.6111774379462963
8,3731,0,0,1,0.5888740296695233
8,5117,0,0,1,0.6194714883675433
8,6016,0,0,1,0.9133435642472902
8,6614,0,0,1,0.9823163658480152
8,8060,0,0,1,0.6257577760769024
8,9796,0,0,1,0.6267346783317712
9,826,0,0,1,0.9041685853783843
9,1054,0,0,1,0.8132854842037993
9,1807,0,0,0,0.13187212015546917
9,2415,0,0,1,0.8024420110008637
9,3547,0,0,0,0.03867159464713312
9,4953,0,0,1,0.5341951087332932
9,6292,0,0,1,0.5624929003823387
9,6966,0,0,1,0.9944336958783022
9,9424,0,0,1,0.5068373813081034
9,9947,0,0,1,0.6697344443570826
10,194,0,0,0,0.19395667692812532
10,2400,0,0,0,0.3642946520285882
10,3291,0,0,1,0.9397202634478573
10,4095,0,0,1,0.6717429843666426
10,5079,0,0,0,0.15363993805385578
10,5110,0,0,1,0.5891915249568842
10,5860,0,0,1,0.6069272523713506
10,6684,0,0,0,0.40341734004502533
10,7099,0,0,0,0.02888221059828861
10,7527,0,0,0,0.44525119315014
10,9133,0,0,1,0.8511339478229079
10,9324,0,0,1,0.6699356601052298
10,9453,0,0,0,0.17130666714448742
11,1704,0,0,1,0.7537659615112627
11,1774,0,0,1,0.7581968767481146
11,1937,0,0,1,0.5971585489354637
11,3364,0,0,0,0.23228007291855488
11,4090,0,0,0,0.0019312978006713322
11,4159,0,0,0,0.11405105850896703
11,5466,0,0,1,0.7626869018832263
11,7399,0,0,1,0.6232781632936428
11,7524,0,0,0,0.39170125561095637
11,7908,0,0,1,0.6188106923847239
12,13,0,0,1,0.5380751260326706
12,965,0,0,1,0.8350265368822953
12,1240,0,0,1,0.6627007932384922
12,1761,0,0,1,0.6262628116485298
12,1975,0,0,0,0.43872367010946955
12,2452,0,0,1,0.7921522820758513
12,2504,0,0,0,0.34181730406412864
12,2827,0,0,1,0.666988306065185
12,4322,0,0,1,0.6557178951649524
12,6287,0,0,1,0.7275979682748643
12,6664,0,0,1,0.7918133315752266
12,8062,0,0,1,0.6936891009554051
12,8082,0,0,0,0.2503500281664512
13,2401,0,0,1,0.9688796510447059
13,2822,0,0,1,0.9193475060761704
13,2990,0,0,1,0.752928084588169
13,3632,0,0,1,0.5175651282643758
13,5635,0,0,1,0.8624450647602766
13,6728,0,0,1,0.8436190574837874
13,7319,0,0,0,0.48300038596981626
13,7503,0,0,1,0.7883664920439003
13,9025,0,0,1,0.4903100017655982
13,9484,0,0,0,0.3404843904262859
13,9560,0,0,0,0.2539159533149506
14,246,0,0,0,0.21216384998094398
14,661,0,0,0,0.41921619862051945
14,2606,0,0,0,0.10178249323883098
14,2776,0,0,1,0.9190125285979107
14,2980,0,0,0,0.13437727119264342
14,3910,0,0,0,0.2659894666381406
14,4711,0,0,1,0.8887648493914034
14,4759,0,0,1,0.8881008919855914
14,5529,0,0,0,0.4590121628152887
14,6443,0,0,0,0.08852519527241261
14,7238,0,0,1,0.8492587200431083
14,7920,0,0,1,0.9586998419603883
14,9332,0,0,1,0.7650975798579596
15,759,0,0,1,0.8040633974819622
15,1076,0,0,1,0.7005772233809426
15,1352,0,0,0,0.36932344674600576
15,4268,0,0,1,0.8449079718940147
15,4493,0,0,1,0.7421747636357247
15,4728,0,0,1,0.511062548530226
15,5152,0,0,1,0.6713573092081851
15,8831,0,0,1,0.6782101125881478
15,9462,0,0,0,0.24651338379015567
15,9919,0,0,0,0.060247900955191405
16,434,0,0,0,0.24828241982313345
16,481,0,0,1,0.7407930015244115
16,846,0,0,0,0.27983642639618767
16,2351,0,0,0,0.45655782952335233
16,3731,0,0,1,0.6417046629946683
16,4295,0,0,0,0.22898879546426834
16,6527,0,0,1,0.49196166499904614
17,447,0,0,1,0.811273948360286
17,721,0,0,1,0.5298285348307343
17,813,0,0,0,0.19160038826531484
17,3916,0,0,1,0.8931014195691063
17,4271,0,0,0,0.20558170587026667
17,7138,0,0,0,0.22660287663615722
18,92,0,0,0,0.22011715274986676
18,130,0,0,1,0.9367264421917556
18,4473,0,0,1,0.76776061064841
18,5600,0,0,1,0.49847903842111724
18,6462,0,0,1,0.8290211654620081
18,6562,0,0,1,0.48414010916935746
18,6826,0,0,1,0.9416677836197171
18,7784,0,0,1,0.870135952611407
18,9227,0,0,0,0.5091607753630608
18,9394,0,0,0,0.28150856004299446
19,579,0,0,0,0.17594891577175456
19,638,0,0,1,0.6828075718778522
19,1421,0,0,1,0.5420791389841036
19,2546,0,0,1,0.9330128959946251
19,2867,0,0,0,0.3297833404970278
19,4315,0,0,0,0.10914758907643392
19,7766,0,0,0,0.33520715878075075
19,8030,0,0,0,0.40004181200773165
19,8218,0,0,0,0.04043106232890388
19,8553,0,0,0,0.17509765895947213
19,9389,0,0,1,0.5888070925766541
20,319,0,0,1,0.530501040586678
20,1109,0,0,1,0.8727540167868737
20,1651,0,0,0,0.4893073129400628
20,4088,0,0,1,0.9253602284562696
20,5611,0,0,1,0.7995468284044422
20,8532,0,0,1,0.7304115830049625
20,8939,0,0,0,0.0810611538618949
21,940,0,0,1,0.6453263999747052
21,1573,0,0,0,0.28198272607256736
21,2118,0,0,0,0.42368572672941907
21,2424,0,0,0,0.111691260939904
21,2754,0,0,0,0.010077168717981661
21,2965,0,0,0,0.4622337053319479
21,6206,0,0,0,0.1783835075164493
21,8191,0,0,0,0.06642612815375196
21,8907,0,0,1,0.6972711680388114
22,327,0,0,1,0.8401954259867914
22,1277,0,0,1,0.9953382853367678
22,1429,0,0,0,0.3378475098302953
22,3877,0,0,1,0.676483360397203
22,4093,0,0,0,0.5002180862644978
22,5039,0,0,0,0.24981755403570338
22,5424,0,0,0,0.07249642148243342
22,5677,0,0,1,0.8795154127546145
22,6014,0,0,0,0.4634302917842388
22,6744,0,0,1,0.7407210717881978
22,6946,0,0,1,0.9325364564079807
22,7056,0,0,0,0.06769155267209656
22,7993,0,0,0,0.1694062692483064
22,8669,0,0,0,0.05528731475814637
22,9114,0,0,1,0.721692854113708
23,56,0,0,1,0.6470837821462637
23,1115,0,0,0,0.5156010920974462
23,2796,0,0,1,0.9056227433118664
23,4317,0,0,0,0.19875570887077323
23,7016,0,0,0,0.00729093187333749
23,7714,0,0,0,0.25251113045715623
23,8473,0,0,1,0.6820806151501665
24,965,0,0,0,0.0822807227343108
24,2368,0,0,0,0.46247928077424566
24,3332,0,0,0,0.4480403295818291
24,3816,0,0,1,0.9810049426647798
24,4042,0,0,1,0.4938268774875041
24,5623,0,0,1,0.9329069385059579
24,7054,0,0,1,0.5551774698918951
24,7108,0,0,1,0.9048422362359317
25,249,0,0,1,0.6854504469329621
25,270,0,0,0,0.48695964413006526
25,306,0,0,0,0.19989011540005008
25,315,0,0,1,0.7659554591379072
25,1710,0,0,1,0.7884926266868879
25,2302,0,0,1,0.8922370537800856
25,2439,0,0,0,0.18437553673818094
25,2950,0,0,0,0.2880220705920238
25,5568,0,0,1,0.818556179939026
25,5973,0,0,1,0.7717231428132463
25,6150,0,0,0,0.1426394352956185
25,6446,0,0,1,0.8708650454159509
25,6527,0,0,0,0.2926814093247915
25,6555,0,0,1,0.5418029408352216
25,7678,0,0,1,0.6868945547532862
25,7766,0,0,0,0.36871918451487756
25,8483,0,0,1,0.5603184134083746
25,8795,0,0,1,0.7035506383732333
25,9117,0,0,1,0.7474545611806707
26,1487,0,0,0,0.027973325579589606
26,1918,0,0,0,0.4810108125421964
26,2769,0,0,1,0.8041996736945755
26,3910,0,0,1,0.7268026611801529
26,5856,0,0,1,0.4793963309845762
26,6951,0,0,1,0.784640725783728
26,7163,0,0,0,0.49157155029064237
26,7615,0,0,0,0.486466438973958
26,7667,0,0,0,0.37416908068771937
26,8309,0,0,1,0.5425742598003668
26,8744,0,0,1,0.8483122872721057
26,9933,0,0,1,0.592538779341843
27,131,0,0,1,0.954616221596073
27,236,0,0,0,0.24239064163333052
27,344,0,0,0,0.43437897601598807
27,2074,0,0,1,0.9595764127252258
27,2825,0,0,1,0.7316801526135372
27,3525,0,0,0,0.28887468710045194
27,3620,0,0,0,0.12030818245851237
27,5015,0,0,0,0.028191300709910626
27,5316,0,0,0,0.27928745734355875
27,6299,0,0,0,0.017695926303144573
27,6429,0,0,1,0.6278116757649012
27,7529,0,0,0,0.39685919622172566
27,9021,0,0,1,0.642074175178218
